City,Pop_2005,Pop_2007,Pop_2009,Pop_2011,Pop_2013,Pop_2015,Pop_2017,latitude,longitude
Reading,48.88,49.66,50.51,51.34,57.87,61.34,64.67,40.335648,-75.926872
Hazleton,18.56,19.55,21.25,27.45,37.77,46.65,54.22,40.964687,-75.985279
Allentown,30.55,31.33,33.3,35.65,40.43,47.55,50.61,40.602206,-75.471279
Kennett Square,39.88,41.21,42.96,45.66,46.77,47.16,48.06,39.846724,-75.711593
Lebanon,19.21,21.22,23.48,27.77,31.65,36.76,41.52,40.342968,-76.423382
Lancaster,25.55,29.76,32.26,33.54,35.66,36.88,38.68,40.03813,-76.305669
York,18.76,21.22,22.63,25.54,27.77,28.76,31.7,39.962303,-76.727692
Bethlehem,19.65,22.56,22.38,24.55,25.67,27.87,28.52,40.6348205,-75.3579576
Norristown,17.65,17.65,19.02,21.21,23.11,24.06,26.63,40.121497,-75.339905
Coatesville,20.98,19.67,20.17,21.43,23.33,24.11,24.54,39.983162,-75.823835
Easton,13.43,14.43,15.78,17.11,18.11,20.49,21.72,40.691608,-75.209987
Harrisburg,15.32,14.11,14.05,14.99,17.65,19.6,20.32,40.266311,-76.886112
Chambersburg,8.4,9.3,10.91,11.2,12.56,14.34,17.56,39.94059,-77.659862
Wilkes-Barre,6.2,7.1,7.49,12.33,14.44,16.54,17.35,41.246482,-75.881732
Steelton,8.67,9.76,11.41,13.33,15.43,16.54,17.02,40.235368,-76.841361
